co_cli;cliente;ciudad;direccion_principal;direccion_temporal;latitud;longitud;corregida
504877875;CORPORACION ANTARTIS33 C.A.;CARACAS;AV PAEZ CON AV MIRANDA DEL PARAISO MUNICIPIO LIBERTADOR DE CARACAS EDIF MIRANDA PISO 1 APT 12 URBANIZACION EL PARAISO CARACAS DTTO CAPITAL;NULL;10.48739703;-66.93312793;NO
506859491;SERVICIOS M2M C.A.;CARACAS;CALLE LA FACULTAD QTA ALVINI LOCAL 2 NRO PB URB LOS CHAGUARAMOS MANZANA B ZONA 2 CARACAS DTTO CAPITAL;NULL;10.48726951;-66.93306191;NO
500689462;CORPORACION GPI AUTO PARTES RL C.A.;CARACAS;AV SUR 4 EDIF GPI AUTO PARTES PISO PB LOCAL PB SECTOR QUINTA CRESPO CARACAS DTTO CAPITAL;NULL;10.48712040;-66.86928331;NO
412457055;GRUPO TIRES GUNS 401, C. A.;CARACAS;AV. PAEZ EDIF SAUMELL PALACE PISO PB LOCAL A URB.EL PARAISO CARACAS DISTRITO CAPITAL;NULL;10.48696608;-66.93280978;NO
501898855;MULTISERVICIOS TRIBOLOGY 22 CA;CARACAS;CALLE LA ROTARIA EDIF DON ALFONSO PISO PB LOCAL E URB EL PARAISO CARACAS DTTO CAPITAL;NULL;10.48669473;-66.94630877;NO
502398180;CARPRESS SPARE STORE C.A.;CARACAS;AV CIUDAD UNIVERSITARIA EDIF CENTRO LAS CUMBRES PISO PB LOCAL 2-A Y 4-A URB LOS CHAGUARAMOS CARACAS DTTO CAPITAL;NULL;10.48667975;-66.88927854;NO
317325303;MULTIEXPRESS JJFM C.A.;CARACAS;LOS CHAGUARAMOS CC CARACAS;NULL;10.48607192;-66.88495994;NO
406565946;SERVICIOS SPEDD MOTORS C.A.;CARACAS;AV VICTORIA CON AVENIDA NUEVA GRANADA CC MULTIPLAZA VICTORIA NIVEL PB LOCAL ESTACIONAMIENTO URB LAS ACACIAS CARACAS DTTO CAPITAL;NULL;10.48596881;-66.90912646;NO
404663258;DISTRIBUIDORA D�ABREU 15-82 C.A.;CARACAS;AV PRESIDENTE MEDINA ENTRE AV NICARAGUA Y AV CENTRO AMERICA EDF ROMANO PISO PB LOCAL 1 URB LAS ACACIAS CARACAS DTTO FEDERAL;NULL;10.48570025;-66.90210355;NO
314353349;LUBRICANTES JHONJANY C.A.;CARACAS;AVENIDA LOS ESTADIOS EDF SAN JOSE LOCAL 1 URB LOS CHAGUARAMOS DTTO CAPITAL;NULL;10.48546150;-66.88519352;NO
